,seq_name,rate_bpp,rate_latent_bpp,rate_nn_bpp,psnr_db,mse,option_selected,anchor
0,kodim01,0.36519960562388104,0.33806947867075604,0.027130126953125,26.91269409502338,0.0020357787143439054,all_upsampling,hypernet
1,kodim02,0.10293813546498616,0.10293813546498616,0.0,30.284218732015713,0.0009366516023874283,no_delta_noupsampling,hypernet
2,kodim03,0.11992398897806804,0.11992398897806804,0.0,31.404934983945296,0.0007236131350509822,no_delta_noupsampling,hypernet
3,kodim04,0.14496652285257974,0.14496652285257974,0.0,30.312009751506785,0.0009306769934482872,no_delta_noupsampling,hypernet
4,kodim05,0.5010438760121664,0.4890148639678955,0.012029012044270834,27.353669415088348,0.0018392172642052174,only_arm_noupsampling,hypernet
5,kodim06,0.2863471905390421,0.2743181784947713,0.012029012044270834,28.00348171534319,0.0015836230013519526,only_arm_noupsampling,hypernet
6,kodim07,0.2022635539372762,0.2022635539372762,0.0,30.9035622008202,0.0008121639839373529,no_delta_noupsampling,hypernet
7,kodim08,0.5244641701380413,0.5124351580937704,0.012029012044270834,26.909542685973157,0.0020372564904391766,only_arm_noupsampling,hypernet
8,kodim09,0.15122390786806741,0.15122390786806741,0.0,31.298496160531677,0.0007415668806061149,no_delta_noupsampling,hypernet
9,kodim10,0.15043704708417258,0.15043704708417258,0.0,31.103616070864465,0.0007756009581498802,no_delta_noupsampling,hypernet
10,kodim11,0.22151881456375122,0.22151881456375122,0.0,28.86522429086149,0.0012986063957214355,no_delta_noupsampling,hypernet
11,kodim12,0.10624655087788899,0.10624655087788899,0.0,30.875437605030413,0.0008174405666068196,no_delta_noupsampling,hypernet
12,kodim13,0.5771077871322632,0.5650787750879923,0.012029012044270834,25.956627772609092,0.002537097781896591,only_arm_noupsampling,hypernet
13,kodim14,0.30896176894505817,0.30896176894505817,0.0,28.07841108782812,0.0015565349021926522,no_delta_noupsampling,hypernet
14,kodim15,0.15057655175526938,0.15057655175526938,0.0,30.252730424636454,0.0009434674284420907,no_delta_noupsampling,hypernet
15,kodim16,0.1353031794230143,0.1353031794230143,0.0,29.56466445385907,0.0011054357746616006,no_delta_noupsampling,hypernet
16,kodim17,0.17035406827926636,0.17035406827926636,0.0,30.815063340976284,0.00082888372708112,no_delta_noupsampling,hypernet
17,kodim18,0.3464651107788086,0.3464651107788086,0.0,28.111135386508312,0.0015448504127562046,no_delta_noupsampling,hypernet
18,kodim19,0.2145952383677165,0.20256622632344565,0.012029012044270834,29.190696127331233,0.0012048427015542984,only_arm_noupsampling,hypernet
19,kodim20,0.14469078183174133,0.14469078183174133,0.0,31.141900355111535,0.0007687938632443547,no_delta_noupsampling,hypernet
20,kodim21,0.2728785276412964,0.2728785276412964,0.0,28.996027610759192,0.0012600773479789495,no_delta_noupsampling,hypernet
21,kodim22,0.18480153878529867,0.18480153878529867,0.0,28.829835576942973,0.0013092313893139362,no_delta_noupsampling,hypernet
22,kodim23,0.12004710237185161,0.12004710237185161,0.0,32.503905384528345,0.0005618357681669295,no_delta_noupsampling,hypernet
23,kodim24,0.36503557364145917,0.36503557364145917,0.0,28.199375150772504,0.001513778930529952,no_delta_noupsampling,hypernet
