,seq_name,rate_bpp,rate_latent_bpp,rate_nn_bpp,psnr_db,mse,option_selected,anchor
0,kodim01,0.3648645083109538,0.3376936912536621,0.027170817057291668,26.90480969208869,0.002039477927610278,all_upsampling,hypernet
1,kodim02,0.12333542108535767,0.0971564253171285,0.026178995768229168,30.24663424803837,0.0009447927004657686,all_upsampling,hypernet
2,kodim03,0.1414725681145986,0.11391010880470276,0.027562459309895832,31.457680610038125,0.0007148779113776982,all_upsampling,hypernet
3,kodim04,0.16957756876945496,0.1433578828970591,0.026219685872395832,30.37369055148666,0.0009175524464808404,all_upsampling,hypernet
4,kodim05,0.5183008909225464,0.48910574118296307,0.029195149739583332,27.46189054042375,0.001793952425941825,all_upsampling,hypernet
5,kodim06,0.30158940951029456,0.27390487988789874,0.027684529622395832,28.04750541801543,0.0015676511684432626,all_upsampling,hypernet
6,kodim07,0.22179885705312094,0.19524856408437094,0.02655029296875,31.00834623002871,0.0007928030681796372,all_upsampling,hypernet
7,kodim08,0.5420547326405843,0.512737512588501,0.029317220052083332,27.046178674323663,0.0019741589203476906,all_upsampling,hypernet
8,kodim09,0.17117377122243246,0.14373338222503662,0.027440388997395832,31.371638058350424,0.000729182327631861,all_upsampling,hypernet
9,kodim10,0.16894426941871643,0.14146319031715393,0.0274810791015625,31.17241334778977,0.0007634113426320255,all_upsampling,hypernet
10,kodim11,0.23862363894780478,0.21523191531499228,0.0233917236328125,28.893230463797366,0.0012902590679004788,all_upsampling,hypernet
11,kodim12,0.1275161107381185,0.09995365142822266,0.027562459309895832,30.987756944808726,0.0007965705590322614,all_upsampling,hypernet
12,kodim13,0.594713568687439,0.5655184189478556,0.029195149739583332,26.02969289722369,0.002494771033525467,all_upsampling,hypernet
13,kodim14,0.3300670782725016,0.3009939988454183,0.029073079427083332,28.111445323539563,0.0015447401674464345,all_upsampling,hypernet
14,kodim15,0.17074485619862875,0.1429535150527954,0.027791341145833332,30.38552814795437,0.0009150548721663654,all_upsampling,hypernet
15,kodim16,0.15307551622390747,0.12709997097651163,0.025975545247395832,29.594084496629502,0.0010979726212099195,all_upsampling,hypernet
16,kodim17,0.19196906685829163,0.16612067818641663,0.025848388671875,30.829366317653832,0.0008261583861894906,all_upsampling,hypernet
17,kodim18,0.36648945013682044,0.3388049205144246,0.027684529622395832,28.164989215156332,0.0015258120838552713,all_upsampling,hypernet
18,kodim19,0.23111393054326373,0.20481286446253458,0.026301066080729168,29.263185838063627,0.0011848991271108389,all_upsampling,hypernet
19,kodim20,0.16657420992851257,0.13623973727226257,0.03033447265625,31.156111713884883,0.0007662822608835995,all_upsampling,hypernet
20,kodim21,0.2922940452893575,0.26297682523727417,0.029317220052083332,29.051107685060543,0.0012441971339285374,all_upsampling,hypernet
21,kodim22,0.20296035210291546,0.17849542697270712,0.024464925130208332,28.836800319844006,0.001307133468799293,all_upsampling,hypernet
22,kodim23,0.14446455240249634,0.11828555663426717,0.026178995768229168,32.40532196101831,0.0005747351096943021,all_upsampling,hypernet
23,kodim24,0.3862726291020711,0.3574487765630086,0.0288238525390625,28.313040228669955,0.0014746737433597445,all_upsampling,hypernet
